id	title	description	link	image_link	additional_image_link	price	sale_price	sale_price_effective_date	expiration_date	availability	shipping_weight	brand	condition	product_type	google_product_category	mpn
183	Infuse Tumbler Cup With Colored Lid & Straw - Clear/Purple	20 oz. Acrylic double wall tumbler cup with H/C threaded lid and matching straw and infuser for hot or cold beverages.	http://www.hackleyhealthmanagement.com/infuse-tumbler-cup-with-colored-lid-straw-assorted-colors?utm_source=google_shopping&utm_medium=feed&92=18	http://www.hackleyhealthmanagement.com/media/catalog/product/p/u/purple-infuse.jpg	 	12.99 USD	10.50 USD	2016-03-02T00:00:00-05:00/2016-03-26T23:59:59-04:00	2016-03-26	in stock	0.8000 lb	infuse	new	Health & Beauty > Health Care > Fitness & Nutrition	Health & Beauty > Health Care > Fitness & Nutrition	infuse-purple-water-bottle
184	Infuse Tumbler Cup With Colored Lid & Straw - Clear/Gray	20 oz. Acrylic double wall tumbler cup with H/C threaded lid and matching straw and infuser for hot or cold beverages.	http://www.hackleyhealthmanagement.com/infuse-tumbler-cup-with-colored-lid-straw-assorted-colors?utm_source=google_shopping&utm_medium=feed&92=92	http://www.hackleyhealthmanagement.com/media/catalog/product/g/r/gray-infuse.jpg	 	12.99 USD	10.50 USD	2016-03-02T00:00:00-05:00/2016-03-26T23:59:59-04:00	2016-03-26	in stock	0.8000 lb	infuse	new	Health & Beauty > Health Care > Fitness & Nutrition	Health & Beauty > Health Care > Fitness & Nutrition	infuse-gray-water-bottle
185	Infuse Tumbler Cup With Colored Lid & Straw - Clear/Blue	20 oz. Acrylic double wall tumbler cup with H/C threaded lid and matching straw and infuser for hot or cold beverages.	http://www.hackleyhealthmanagement.com/infuse-tumbler-cup-with-colored-lid-straw-assorted-colors?utm_source=google_shopping&utm_medium=feed&92=9	http://www.hackleyhealthmanagement.com/media/catalog/product/n/a/navy-blue-infuse.jpg	 	12.99 USD	10.50 USD	2016-03-02T00:00:00-05:00/2016-03-26T23:59:59-04:00	2016-03-26	in stock	0.8000 lb	infuse	new	Health & Beauty > Health Care > Fitness & Nutrition	Health & Beauty > Health Care > Fitness & Nutrition	infuse-blue-water-bottle
186	Infuse Tumbler Cup With Colored Lid & Straw - Clear/Sky Blue	20 oz. Acrylic double wall tumbler cup with H/C threaded lid and matching straw and infuser for hot or cold beverages.	http://www.hackleyhealthmanagement.com/infuse-tumbler-cup-with-colored-lid-straw-assorted-colors?utm_source=google_shopping&utm_medium=feed&92=91	http://www.hackleyhealthmanagement.com/media/catalog/product/b/a/baby-blue-infuse.jpg	 	12.99 USD	10.50 USD	2016-03-02T00:00:00-05:00/2016-03-26T23:59:59-04:00	2016-03-26	in stock	0.8000 lb	infuse	new	Health & Beauty > Health Care > Fitness & Nutrition	Health & Beauty > Health Care > Fitness & Nutrition	infuse-skyblue-water-bottle
187	Infuse Tumbler Cup With Colored Lid & Straw - Clear/Orange	20 oz. Acrylic double wall tumbler cup with H/C threaded lid and matching straw and infuser for hot or cold beverages.	http://www.hackleyhealthmanagement.com/infuse-tumbler-cup-with-colored-lid-straw-assorted-colors?utm_source=google_shopping&utm_medium=feed&92=16	http://www.hackleyhealthmanagement.com/media/catalog/product/o/r/orange-infuse.jpg	 	12.99 USD	10.50 USD	2016-03-02T00:00:00-05:00/2016-03-26T23:59:59-04:00	2016-03-26	in stock	0.8000 lb	infuse	new	Health & Beauty > Health Care > Fitness & Nutrition	Health & Beauty > Health Care > Fitness & Nutrition	infuse-orange-water-bottle
188	Infuse Tumbler Cup With Colored Lid & Straw - Clear/Red	20 oz. Acrylic double wall tumbler cup with H/C threaded lid and matching straw and infuser for hot or cold beverages.	http://www.hackleyhealthmanagement.com/infuse-tumbler-cup-with-colored-lid-straw-assorted-colors?utm_source=google_shopping&utm_medium=feed&92=19	http://www.hackleyhealthmanagement.com/media/catalog/product/r/e/red-infuse.jpg	 	12.99 USD	10.50 USD	2016-03-02T00:00:00-05:00/2016-03-26T23:59:59-04:00	2016-03-26	in stock	0.8000 lb	infuse	new	Health & Beauty > Health Care > Fitness & Nutrition	Health & Beauty > Health Care > Fitness & Nutrition	infuse-red-water-bottle
189	Infuse Tumbler Cup With Colored Lid & Straw - Clear/Green	20 oz. Acrylic double wall tumbler cup with H/C threaded lid and matching straw and infuser for hot or cold beverages.	http://www.hackleyhealthmanagement.com/infuse-tumbler-cup-with-colored-lid-straw-assorted-colors?utm_source=google_shopping&utm_medium=feed&92=15	http://www.hackleyhealthmanagement.com/media/catalog/product/g/r/green-infuse.jpg	 	12.99 USD	10.50 USD	2016-03-02T00:00:00-05:00/2016-03-26T23:59:59-04:00	2016-03-26	in stock	0.8000 lb	infuse	new	Health & Beauty > Health Care > Fitness & Nutrition	Health & Beauty > Health Care > Fitness & Nutrition	infuse-green-water-bottle
190	Infuse Tumbler Cup With Colored Lid & Straw - Clear/Black	20 oz. Acrylic double wall tumbler cup with H/C threaded lid and matching straw and infuser for hot or cold beverages.	http://www.hackleyhealthmanagement.com/infuse-tumbler-cup-with-colored-lid-straw-assorted-colors?utm_source=google_shopping&utm_medium=feed&92=74	http://www.hackleyhealthmanagement.com/media/catalog/product/b/l/black-infuse.jpg	 	12.99 USD	10.50 USD	2016-03-02T00:00:00-05:00/2016-03-26T23:59:59-04:00	2016-03-26	in stock	0.8000 lb	infuse	new	Health & Beauty > Health Care > Fitness & Nutrition	Health & Beauty > Health Care > Fitness & Nutrition	infuse-black-water-bottle
195	Vegetarian Thai Curry with Brown Rice	Tasty blend of brown rice, hearty meatless protein, and vegetables in a mild curry sauce.	http://www.hackleyhealthmanagement.com/vegetarian-thai-curry-with-brown-rice?utm_source=google_shopping&utm_medium=feed	http://www.hackleyhealthmanagement.com/media/catalog/product/t/h/thai_curry_for_web_only.png	http://www.hackleyhealthmanagement.com/media/catalog/product/t/h/thai_curry_box__for_web_only.png	3.65 USD	 	 	2016-03-26	in stock	0.6000 lb	health management resources	new	Health & Beauty > Health Care > Fitness & Nutrition	Health & Beauty > Health Care > Fitness & Nutrition	entree-vtc
212	BlenderBottle GoStak Portable Containers - Red	Store anything from shake powder and healthy snacks to vitamins and loose change. These containers connect using a special Twist & Lock ™ system and are designed to fit inside the SportMixer ™ and Blender Bottle ™ for better portability and storage.	http://www.hackleyhealthmanagement.com/gostak?utm_source=google_shopping&utm_medium=feed&92=19	http://www.hackleyhealthmanagement.com/media/catalog/product/b/b/bbgs_s4pk_rd_2.jpg	 	12.99 USD	 	 	2016-03-26	in stock	0.4000 lb	blender bottle	new	Health & Beauty > Health Care > Fitness & Nutrition	Health & Beauty > Health Care > Fitness & Nutrition	gostak-red
